PHI,T,P,NH3,H2,CH4,LBV,REF NO
0.5,298,1.5,0.67,0.33,0,2.7,61
0.5,298,1,0.67,0.33,0,3.4,61
0.5,298,1,0.8,0.2,0,4.78,52
0.5,298,1.5,0.5,0.5,0,5.7,61
0.5,298,1,0.5,0.5,0,6.5,61
0.5,360,1,0,0.1,0.9,6.6,74
0.5,373,1,0,0.1,0.9,7.76,112
0.5,300,1,0,0.5,0.5,7.84,101
0.5,298,1,0.5,0.5,0,7.88,91
0.5,300,1,0,0.5,0.5,8.79,101
0.5,298,1,0,0.6,0.4,9.4,112
0.5,298,1,0.4,0.6,0,9.5,61
0.5,473,1,0,0.1,0.9,10.38,112
0.5,298,1,0,0.67,0.33,11.2,108
0.7,298,1,0,0,1,17.8,118
0.5,298,1.5,0.33,0.67,0,13,61
0.5,300,5,0,1,0,14.6,80
0.5,298,1,0.33,0.67,0,18,61
0.5,298,10,0,1,0,21.4,79
1.3,298,1,0,0,1,24.2,118
0.5,300,3,0,1,0,26.5,80
0.5,300,2,0,1,0,32,80
0.5,573,1,0,0.1,0.9,34.71,98
0.5,298,1,0,0.95,0.05,36.53,74
0.5,298,5,0,1,0,41,79
0.5,298,1,0,1,0,42,71
0.5,298,1,0.2,0.8,0,43.6,52
0.5,298,5,0,1,0,45.4,63
0.5,300,1,0,1,0,57.8,80
0.5,350,2,0,1,0,60.6,80
0.5,298,1,0,1,0,63.9,91
0.5,298,1,0,1,0,66.3,78
0.5,298,1,0,1,0,67.2,79
0.5,450,2,0,1,0,71.7,80
0.5,298,1,0,1,0,78.4,61
0.5,373,5,0,1,0,82,79
0.5,373,1,0,1,0,95.5,79
0.5,443,5,0,1,0,136,79
0.5,443,1,0,1,0,141,79
0.52,400,2,0,1,0,66.2,80
0.8,298,1,0,0,1,26.5,118
0.55,298,1,0.5,0.5,0,8.5,52
0.55,298,1,0,0.4,0.6,9.1,112
0.55,298,1,0,0.5,0.5,10.9,108
0.55,298,1,0,0.6,0.4,14,83
0.55,298,1,0,0.95,0.05,48.98,112
0.55,298,1,0,1,0,65.5,71
0.6,298,1,0,1,0,87.3,76
0.6,303,1,0,0.2,0.8,15.51,112
0.6,303,1,0,0.4,0.6,21.11,95
0.6,303,1,0,0.5,0.5,24.94,81
0.6,303,1,0,0.6,0.4,25.87,87
0.6,303,1,0,0.7,0.3,34.5,98
0.6,303,1,0,0.8,0.2,43.12,112
0.6,303,1,0,0.9,0.1,55.34,96
0.6,303,1,0,1,0,81.21,109
0.6,298,1,0.8,0.2,0,4.39,118
0.6,298,1,0.67,0.33,0,5.02,53
0.6,298,1,0.8,0.2,0,5.93,52
0.6,298,1,0.7,0.3,0,7.62,118
1.2,298,1,0,0,1,31.9,118
0.9,298,1,0,0,1,33.2,118
0.6,298,1,0,0.2,0.8,9.07,112
0.6,298,1,0,0.2,0.8,10.31,112
0.6,298,1,0,0.2,0.8,10.46,112
0.6,298,1,0,0.3,0.7,11.1,108
0.6,298,1,0,0.2,0.8,11.16,108
0.6,298,1,0.6,0.4,0,11.36,118
0.6,295,1,0,0.1,0.9,11.51,108
0.6,298,1,0,0.3,0.7,11.72,108
0.6,298,1,0.7,0.3,0,12.37,117
0.6,298,1,0,0.3,0.7,12.45,108
0.6,298,1,0,0.1,0.9,13,86
1,298,1,0,0,1,36.2,118
0.6,298,1,0,0.4,0.6,13.2,83
1.1,298,1,0,0,1,36.4,118
0.6,298,1,0,0.4,0.6,13.4,83
0.6,373,1,0,0.1,0.9,13.9,83
0.6,298,3,0.4,0.6,0,14,56
1,298,1,0,0,1,36.3,123
0.6,298,1,0.5,0.5,0,14.7,52
0.6,295,1,0,0.2,0.8,15.6,112
0.6,298,1,0,0.2,0.8,16,112
0.6,298,1,0,0.5,0.5,16.2,112
0.6,298,1,0.6,0.4,0,16.83,117
0.6,298,1,0.5,0.5,0,16.88,118
0.6,298,1,0.5,0.5,0,18.2,91
0.6,300,1,0,0.5,0.5,18.76,90
0.6,298,1,0,0.3,0.7,19,90
0.6,298,1,0,0.5,0.5,19.28,90
0.6,298,1,0,0.5,0.5,19.51,74
0.6,298,1,0,0.6,0.4,20.3,95
0.6,298,1,0.5,0.5,0,20.51,117
0.6,298,1,0,0.5,0.5,22.58,74
0.6,298,1,0.4,0.6,0,23.8,56
0.6,298,1,0,0.67,0.33,23.9,110
0.6,303,1,0,0.5,0.5,24.83,81
0.6,360,1,0,0.5,0.5,26.22,98
0.6,298,1,0.4,0.6,0,26.25,118
0.6,360,1,0,0.5,0.5,30.03,98
0.8,298,1,0,0,1,25.5,15
0.6,298,1,0,0.8,0.2,38.45,119
0.6,298,1,0,0.8,0.2,39.43,112
0.6,298,1,0,0.8,0.2,39.7,112
0.9,298,1,0,0,1,32,15
0.6,298,1,0.2,0.8,0,47.58,118
0.69,440,1,0,0.1,0.9,41.91,93
0.6,440,1,0,0.5,0.5,48.18,101
0.6,573,1,0,0.1,0.9,52.79,96
0.6,298,1,0.2,0.8,0,52.9,52
0.6,300,5,0,1,0,57.1,80
0.6,300,3,0,1,0,71.7,80
0.6,298,1,0,1,0,81,63
0.6,300,2,0,1,0,81.5,80
0.6,303,1,0,1,0,82,104
0.6,298,1,0,1,0,89.5,64
0.6,298,1,0,1,0,93,91
0.6,298,1,0,1,0,96.2,78
0.6,298,1,0,1,0,96.5,79
0.6,300,1,0,1,0,97.15,113
0.6,298,1,0,1,0,102,73
0.6,300,1,0,1,0,105,80
0.6,350,2,0,1,0,116,80
0.6,373,1,0,1,0,127,104
0.6,450,1,0,0.9,0.1,136.18,99
0.6,450,1,0,0.9,0.1,139.56,99
0.6,450,2,0,1,0,141,80
0.6,443,1,0,1,0,171,104
1.2,298,1,0,0,1,33.8,15
0.61,298,1,0.62,0.39,0,6.63,53
0.62,298,1,0.46,0.55,0,20.3,53
0.62,298,1,0,1,0,85.3,71
0.63,400,2,0,1,0,129,80
0.65,298,1,0,0.05,0.95,11.9,108
1,298,1,0,0,1,36.3,15
1.1,298,1,0,0,1,37.5,15
0.65,298,1,0,0,1,12.3,100
0.65,298,1,0.7,0.3,0,12.64,117
0.65,298,1,0,0.05,0.95,12.8,108
1.45,298,1,0,0,1,13.1,100
0.65,298,1,0,0.1,0.9,13.8,83
0.65,298,1,0,0.2,0.8,13.8,83
1.4,298,1,0,0,1,16.1,100
0.65,298,1,0,0.3,0.7,15.6,112
0.65,298,1,0,0.2,0.8,16.3,112
0.65,298,1,0.6,0.4,0,17.87,117
0.65,298,1,0,0.4,0.6,19.61,95
0.65,298,1,0,0.5,0.5,21.8,74
0.65,298,1,0.5,0.5,0,25.21,117
0.65,298,1,0,0.6,0.4,27.1,98
0.65,298,1,0,0.67,0.33,31.5,98
0.65,373,1,0,0.5,0.5,43.84,112
0.7,298,1,0,0,1,16.8,100
0.68,298,1,0.62,0.39,0,9.24,53
0.69,440,1,0,0.1,0.9,41.91,81
0.8,440,1,0,0.1,0.9,58.44,93
0.69,550,1,0,0.1,0.9,76.95,125
0.69,300,1,0,1,0,124.74,113
0.7,303,1,0,0.2,0.8,26.85,98
0.7,303,1,0,0.3,0.7,29.9,98
0.7,303,1,0,0.4,0.6,32.73,98
0.7,303,1,0,0.5,0.5,35,98
0.7,303,1,0,0.7,0.3,47.43,112
0.7,303,1,0,0.8,0.2,66.12,103
0.7,303,1,0,0.9,0.1,84.8,109
0.7,303,1,0,1,0,120.74,113
0.8,298,1,0,0,1,24.6,100
0.95,298,1,0,0,1,35,100
1.15,298,1,0,0,1,35.2,100
1.05,298,1,0,0,1,37.6,100
0.65,298,1,0,0,1,13.7,68
0.71,298,1,0,0,1,20.8,68
0.78,298,1,0,0,1,24.8,68
0.82,298,1,0,0,1,30.5,68
0.92,298,1,0,0,1,37.7,68
1.06,298,1,0,0,1,42.6,68
1.12,298,1,0,0,1,42.4,68
1.19,298,1,0,0,1,40.2,68
1.25,298,1,0,0,1,36.9,68
1.29,298,1,0,0,1,31.1,68
0.7,300,5,0.3,0.14,0.56,6.05,13
0.7,300,5,0.2,0.16,0.64,6.92,13
0.7,298,5,0.6,0.4,0,6.93,56
1.32,298,1,0,0,1,25.1,68
0.7,298,1,0.8,0.2,0,7.27,52
1.4,298,1,0,0,1,19.9,68
0.7,298,1,0.75,0.25,0,7.4,55
0.7,300,5,0.1,0.18,0.72,8.16,13
1.45,298,1,0,0,1,14.8,68
0.7,298,3,0.6,0.4,0,9.01,56
1.5,298,1,0,0,1,12.1,68
0.7,298,1,0.8,0.2,0,10.78,117
0.7,298,1,0.7,0.3,0,11.02,62
0.7,298,1,0.65,0.35,0,11.1,55
1.1,298,1,0,0,1,38.1,85
1.7,298,1,0,0,1,6.4,95
0.7,298,1,0.6,0.4,0,13,55
0.8,298,1,0,0,1,20.5,95
1.4,298,1,0,0,1,20.6,95
0.7,300,1,0.3,0.14,0.56,14.34,13
0.75,298,1,0,0,1,20.9,95
0.7,360,1,0.7,0.3,0,14.66,62
0.55,298,1,0,0,1,4.9,106
